10-04-2026 13:20:13 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:13 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:47 | GET | cafeteria-api/controllers/pedidos_itens
10-04-2026 13:20:51 | GET | cafeteria-api/controllers/pedido_itens
10-04-2026 13:20:52 | GET | cafeteria-api/controllers/pedido_itens
10-04-2026 13:20:52 | GET | cafeteria-api/controllers/pedido_itens
10-04-2026 13:20:52 | GET | cafeteria-api/controllers/pedido_itens
10-04-2026 13:20:52 | GET | cafeteria-api/controllers/pedido_itens
10-04-2026 13:20:53 | GET | cafeteria-api/controllers/pedido_itens
